magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
6.6,2020-05-12,4,6,green,1,671,us,0,3.403,12,mww,107,-12.0662,166.648,"Lata, Solomon Islands",,
6.8,2020-05-06,4,6,green,0,738,us,0,1.921,16,mww,96,-6.7762,129.785,Banda Sea,,Indonesia
6.5,2020-05-02,7,6,green,0,678,us,0,1.293,19,mww,10,34.1818,25.7101,"Néa Anatolí, Greece",,
6.5,2020-03-31,8,8,green,0,1410,us,0,0.885,31,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States of America
7.5,2020-03-25,6,5,green,1,879,us,0,4.109,12,mww,57.8,48.9638,157.695,"Severo-Kuril’sk, Russia",,
7,2020-02-13,5,6,yellow,1,770,us,0,4.501,25,mww,143,45.6161,148.959,"Kuril’sk, Russia",Asia,Russia
7.7,2020-01-28,9,6,yellow,1,1812,us,0,1.657,26,mww,14.86,19.4193,-78.756,"Lucea, Jamaica",,
6.7,2020-01-24,8,9,orange,0,1247,us,0,0.87,49,mww,10,38.4312,39.0609,"Doganayol, Turkey",Asia,Turkey
6.8,2019-12-15,9,7,yellow,1,825,us,0,0.546,39,mww,18,6.6969,125.174,"Magsaysay, Philippines",,Philippines
7.1,2019-11-14,6,6,green,1,799,us,0,1.271,11,mww,33,1.6213,126.416,"Bitung, Indonesia",,Indonesia
6.5,2019-11-08,0,2,green,0,650,us,0,4.765,25,mww,577,-21.9449,-179.511,"Ndoi Island, Fiji",,
6.6,2019-11-04,4,4,green,1,673,us,0,5.086,48,mww,10,-18.5747,-175.272,"Neiafu, Tonga",,
6.5,2019-10-31,9,7,green,1,733,us,0,0.428,19,mww,10,6.9098,125.178,"Kisante, Philippines",,Philippines
6.6,2019-10-29,9,7,yellow,1,780,us,0,0.646,24,mww,15,6.7567,125.008,"Columbio, Philippines",,Philippines
6.7,2019-09-29,7,6,green,1,844,us,0,1.269,98,mww,11,-35.4758,-73.163,"Constitución, Chile",,
6.5,2019-09-25,7,7,yellow,1,656,us,0,3.909,15,mww,12.26,-3.4528,128.37,"Kairatu, Indonesia",,Indonesia
6.6,2019-09-01,2,3,,1,671,us,0,4.121,19,mww,591,-20.3641,-178.57,"Ndoi Island, Fiji",,Fiji
6.6,2019-08-27,0,4,green,1,670,us,0,12.896,19,mww,16,-60.2152,-26.5801,"Bristol Island, South Sandwich Islands",,United Kingdom of Great Britain and Northern Ireland (the)
6.9,2019-08-02,4,6,green,0,875,us,0,2.839,23,mww,49,-7.2822,104.791,"Labuan, Indonesia",,
6.8,2019-08-01,6,6,green,1,947,us,0,0.817,35,mww,25,-34.2364,-72.3102,"San Antonio, Chile",,
6.6,2019-07-31,0,4,green,1,670,us,0,6.024,30,mww,181,-16.1985,167.998,"Lakatoro, Vanuatu",,Vanuatu
7.2,2019-07-14,7,7,green,1,809,us,0,1.504,38,mww,18.98,-0.5858,128.034,"Laiwui, Indonesia",,Indonesia
6.6,2019-07-14,5,5,green,0,791,us,0,2.978,32,mww,10,-18.2242,120.358,"Broome, Australia",,
6.9,2019-07-07,7,5,green,0,747,us,0,1.205,21,mww,35,0.5126,126.189,"Kota Ternate, Indonesia",,Indonesia
7.1,2019-07-06,9,9,yellow,0,1646,ci,77,0.04616,43,mw,8,35.7695,-117.599,"Searles Valley, CA",North America,United States of America
